"sfid","nfid","zm"
499,"L-07-823","len"
500,"L-10-041","len"
501,"Q-06-985","qro"
502,"Q-10-150","qro"
503,"L-03-505","len"
504,"Q-05-263","qro"
505,"L-01-244","len"
506,"L-09-301","len"
507,"Q-02-859","qro"
508,"Q-08-839","qro"
509,"L-06-109","len"
510,"L-08-442","len"
511,"L-03-083","len"
512,"Q-05-750","qro"
513,"Q-07-377","qro"
514,"L-08-676","len"
515,"L-01-040","len"
516,"Q-10-994","qro"
517,"L-02-508","len"
518,"L-01-913","len"
519,"L-06-161","len"
520,"L-09-751","len"
521,"Q-04-808","qro"
522,"Q-05-536","qro"
523,"Q-04-092","qro"
524,"L-02-045","len"
525,"Q-10-238","qro"
526,"L-00-926","len"
527,"L-02-776","len"
528,"Q-03-954","qro"
529,"Q-07-776","qro"
530,"Q-06-153","qro"
531,"Q-09-758","qro"
532,"Q-08-207","qro"
533,"Q-09-740","qro"
534,"L-09-635","len"
535,"Q-00-666","qro"
536,"L-04-549","len"
537,"L-00-661","len"
538,"Q-01-080","qro"
539,"Q-07-582","qro"
540,"Q-03-420","qro"
541,"Q-10-682","qro"
542,"L-00-848","len"
543,"L-08-840","len"
544,"L-01-248","len"
545,"L-07-937","len"
546,"L-06-984","len"
547,"Q-04-684","qro"
548,"Q-07-583","qro"
549,"L-08-661","len"
550,"L-09-372","len"
551,"L-05-172","len"
552,"L-08-548","len"
553,"Q-09-707","qro"
554,"L-09-217","len"
555,"Q-05-109","qro"
556,"Q-08-438","qro"
557,"Q-00-671","qro"
558,"L-10-339","len"
559,"L-05-660","len"
560,"Q-00-074","qro"
561,"Q-04-003","qro"
562,"Q-03-447","qro"
563,"L-01-736","len"
564,"Q-11-100","qro"
565,"L-04-285","len"
566,"L-07-258","len"
567,"L-08-335","len"
568,"L-01-184","len"
569,"Q-10-469","qro"
570,"Q-07-280","qro"
571,"L-06-317","len"
572,"Q-03-694","qro"
573,"Q-00-895","qro"
574,"L-01-213","len"
575,"Q-02-732","qro"
576,"L-00-968","len"
577,"Q-05-412","qro"
578,"L-00-395","len"
579,"L-06-932","len"
580,"Q-00-202","qro"
581,"L-05-070","len"
582,"Q-02-954","qro"
583,"L-06-449","len"
584,"Q-10-880","qro"
585,"Q-06-340","qro"
586,"Q-03-597","qro"
587,"L-07-565","len"
588,"L-00-490","len"
589,"Q-04-665","qro"
590,"L-08-573","len"
591,"L-02-398","len"
592,"L-04-561","len"
593,"L-01-713","len"
594,"L-00-306","len"
595,"Q-00-527","qro"
596,"L-01-397","len"
597,"L-00-500","len"
598,"L-00-617","len"
599,"L-03-187","len"
600,"L-04-094","len"
601,"Q-09-689","qro"
602,NA,NA
603,"Q-04-788","qro"
604,"L-01-381","len"
605,"L-03-970","len"
606,"Q-06-482","qro"
607,"Q-05-025","qro"
608,"L-05-475","len"
609,"L-02-394","len"
610,"L-08-103","len"
611,"Q-05-775","qro"
612,"L-10-304","len"
613,"L-09-790","len"
614,"L-05-836","len"
615,"L-03-490","len"
616,"L-03-318","len"
617,"L-08-979","len"
618,"Q-01-527","qro"
619,"L-02-750","len"
620,"Q-10-460","qro"
621,"L-04-037","len"
622,"L-03-173","len"
623,"L-09-110","len"
624,"L-04-402","len"
625,"L-05-430","len"
626,"Q-02-279","qro"
627,"Q-10-555","qro"
628,"L-09-938","len"
629,"Q-10-878","qro"
630,"Q-01-089","qro"
631,"L-04-062","len"
632,"Q-03-751","qro"
633,"Q-02-804","qro"
634,"L-00-422","len"
635,"Q-10-375","qro"
636,"L-08-852","len"
637,"Q-02-138","qro"
638,"Q-00-109","qro"
639,"Q-07-107","qro"
640,"L-00-111","len"
641,"L-05-035","len"
642,"Q-04-235","qro"
643,"L-09-258","len"
644,"L-02-762","len"
645,"Q-04-018","qro"
646,"Q-03-956","qro"
647,"Q-05-905","qro"
648,"L-04-426","len"
649,"L-06-088","len"
650,"Q-01-472","qro"
651,"L-07-840","len"
652,"Q-03-940","qro"
653,"Q-06-419","qro"
654,"Q-05-622","qro"
655,"Q-06-085","qro"
656,"L-08-364","len"
657,"L-01-294","len"
658,"L-00-421","len"
659,"Q-04-020","qro"
660,"L-03-158","len"
661,"L-07-493","len"
662,"L-02-070","len"
663,"L-05-750","len"
664,"Q-09-673","qro"
665,"Q-03-110","qro"
666,"L-01-179","len"
667,"Q-07-971","qro"
668,"L-00-943","len"
669,"L-04-835","len"
670,"Q-08-021","qro"
671,"L-10-332","len"
672,"L-06-606","len"
673,"L-10-066","len"
674,"L-10-159","len"
675,"Q-06-706","qro"
676,"Q-02-223","qro"
677,"L-07-084","len"
678,"L-01-154","len"
679,"L-04-997","len"
680,"L-03-077","len"
681,"L-03-774","len"
682,"L-01-051","len"
683,"L-05-011","len"
684,"Q-01-574","qro"
685,"L-02-335","len"
686,"Q-04-504","qro"
687,"L-06-756","len"
688,"Q-01-426","qro"
689,"L-02-929","len"
