sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
378,L-03-846,len,privado,jardin residencial,,,
379,L-09-604,len,privado,jardin institucional,escuela,,
380,Q-01-430,qro,privado,baldio/zona de reserva,,camino rural o vereda,
381,L-00-983,len,privado,parque,residencial,,
382,L-04-135,len,privado,jardin residencial,,,
383,Q-06-780,qro,publico,equipamiento urbano,canal,,
384,L-09-682,len,privado,agricola/cultivo,,,
385,Q-01-538,qro,privado,equipamiento urbano,residencial,,
386,Q-08-544,qro,privado,jardin institucional,comercial,,
387,L-01-497,len,privado,jardin institucional,comercial,hotel,
388,L-00-861,len,privado,baldio/zona de reserva,arroyo,,
389,L-01-637,len,privado,baldio/zona de reserva,arroyo,,
390,Q-10-432,qro,privado,jardin residencial,rural,,
391,L-05-123,len,privado,jardin residencial,rural,,
392,L-07-626,len,privado,baldio/zona de reserva,rural,,
393,Q-03-924,qro,privado,jardin residencial,,,
394,Q-03-264,qro,privado,baldio/zona de reserva,rural,,
395,Q-02-129,qro,privado,parque,residencial,,
396,Q-09-306,qro,privado,baldio/zona de reserva,,,
397,L-02-711,len,privado,baldio/zona de reserva,rural,,
398,L-05-057,len,privado,baldio/zona de reserva,,,
399,L-06-576,len,privado,jardin residencial,,,
400,L-05-398,len,privado,baldio/zona de reserva,arroyo,,
401,Q-06-036,qro,privado,jardin institucional,comercial,hotel,
402,L-03-401,len,privado,jardin residencial,,,
403,L-09-456,len,privado,jardin institucional,club de golf,,
404,Q-08-576,qro,privado,baldio/zona de reserva,,,
405,Q-03-864,qro,privado,baldio/zona de reserva,,,
406,Q-07-580,qro,privado,baldio/zona de reserva,residencial,,
407,Q-10-339,qro,privado,jardin residencial,rural,,
408,L-08-690,len,privado,jardin residencial,campestre,,
409,Q-03-947,qro,privado,jardin institucional,,comité de aguas subterraneas de Amazcala,
410,Q-03-909,qro,privado,jardin residencial,rural,,
411,Q-00-176,qro,privado,baldio/zona de reserva,,,
412,L-00-338,len,publico,equipamiento urbano,arbolado,,
413,Q-08-087,qro,privado,deportivo,escuela,,
414,L-05-830,len,privado,jardin residencial,rural,,
415,L-06-943,len,privado,jardin residencial,rural,,
416,Q-11-029,qro,privado,jardin residencial,rural,,
417,L-04-168,len,publico,parque,centro cultural,Centro GTO Contigo,
418,L-03-275,len,privado,jardin residencial,,,
419,Q-08-752,qro,privado,jardin residencial,,se mezcla con baldio,
420,Q-09-559,qro,privado,parque,residencial,,
421,Q-08-521,qro,privado,jardin residencial,,,
422,L-10-331,len,privado,jardin residencial,rural,,
423,L-00-394,len,publico,equipamiento urbano,canellón,,
424,Q-08-942,qro,privado,agricola/cultivo,,valla de árboles,
425,Q-03-217,qro,privado,jardin institucional,comercial,granja de vacas,
426,Q-10-680,qro,privado,jardin residencial,campestre,,
427,L-02-166,len,privado,parque,residencial,,
428,Q-09-065,qro,privado,jardin residencial,,,
429,L-09-187,len,privado,jardin residencial,campestre,,
430,Q-04-036,qro,privado,jardin residencial,,,
431,Q-04-866,qro,privado,jardin residencial,rural,,
432,Q-07-321,qro,privado,jardin institucional,escuela,,
433,L-01-215,len,privado,agricola/cultivo,,vereda,
434,Q-07-149,qro,privado,parque,residencial,,
435,L-03-178,len,privado,jardin residencial,,abarca baldio de próxima zona residencia (Aria),
436,L-07-784,len,privado,jardin residencial,rural,,
437,Q-02-875,qro,privado,jardin institucional,iglesia,,
438,Q-08-750,qro,privado,jardin residencial,rural,,
439,L-10-049,len,privado,jardin residencial,rural,,
440,L-02-286,len,privado,jardin institucional,comercial,hotel,
441,Q-04-539,qro,,,,paneles solares Antea,
442,Q-09-111,qro,privado,jardin institucional,comercial,patio de servicio,
443,Q-05-918,qro,privado,jardin residencial,,,
444,Q-03-689,qro,privado,jardin residencial,rural,,
445,L-02-877,len,privado,jardin institucional,escuela,,
446,Q-06-877,qro,privado,deportivo,campo de golf,se mezcla la capa con jardines residenciales,
447,L-09-592,len,privado,jardin institucional,comercial,bodega,
448,L-07-062,len,privado,jardin institucional,escuela,,
449,L-05-611,len,privado,jardin institucional,planta de tratamiento,,
450,Q-11-083,qro,privado,jardin residencial,rural,se mezcla con patio de bodega,
451,L-04-456,len,privado,jardin residencial,residencial,,
452,L-02-229,len,privado,jardin residencial,escuela,,
453,Q-02-597,qro,privado,agricola/cultivo,,,
454,L-06-659,len,privado,baldio/zona de reserva,,,
455,L-04-717,len,privado,jardin institucional,comercial,,
456,Q-01-414,qro,privado,baldio/zona de reserva,arroyo,,
457,L-05-290,len,privado,jardin institucional,industrial,,
458,Q-02-853,qro,privado,jardin residencial,rural,,
459,L-00-951,len,publico,parque,media,,
460,L-05-054,len,privado,jardin institucional,industrial,,
461,L-01-785,len,privado,baldio/zona de reserva,,,
462,Q-01-589,qro,publico,equipamiento urbano,arbolado,,
463,L-04-950,len,privado,jardin residencial,campestre,,
464,L-00-461,len,privado,equipamiento urbano,glorieta,,
465,Q-00-865,qro,privado,agricola/cultivo,,,
466,L-08-542,len,privado,jardin residencial,campestre,,
467,Q-01-075,qro,privado,agricola/cultivo,,,
468,L-00-781,len,publico,equipamiento urbano,camellón,,
469,L-06-288,len,privado,jardin institucional,salón de fiestas,,
470,Q-03-298,qro,privado,jardin residencial,rural,,
471,L-06-509,len,privado,jardin institucional,salón de fiestas,,
472,Q-06-794,qro,privado,jardin residencial,residencial,,
473,Q-04-484,qro,privado,baldio/zona de reserva,campo de golf,,
